First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Douglas,Male,8/6/1993,12:42 PM,97308,6.945,True,Marketing
Thomas,Male,3/31/1996,6:53 AM,61933,4.17,True,
Maria,Female,4/23/1993,11:17 AM,130590,11.858,False,Finance
Jerry,Male,3/4/2005,1:00 PM,138705,9.34,True,Finance
Larry,Male,1/24/1998,4:47 PM,101004,1.389,True,Client Services
Henry,,11/23/2014,6:09 AM,132483,16.655,False,Distribution
Phillip,Male,1/31/1984,6:30 AM,42392,19.675,False,Finance
Russell,Male,5/20/2013,12:39 PM,96914,1.421,False,Product
Larry,Male,4/20/2013,4:45 PM,60500,11.985,False,Business Development
Albert,Male,5/15/2012,6:24 PM,129949,10.169,True,Sales
